crypto,classifier,balanced_accuracy,precision,recall,f1,roc_auc,log_loss
aeternity,Multi-Layer Perceptron,0.5605624985888144,0.5437963552208404,0.5965873015873016,0.5672816594520853,0.5681587978956399,0.684714143096935
aeternity,Decision Tree,0.5342174693490482,0.523057015915696,0.5254761904761904,0.5213795440512746,0.5342174693490482,16.781968906744194
aeternity,Random Forest,0.5271101740838583,0.5134605300734333,0.5111904761904762,0.5112048310512533,0.5594421865474496,0.7364214607963564
aeternity,Balanced Random Forest,0.5447375759217864,0.5329783654528985,0.5596031746031744,0.5449711723360595,0.5680181309128678,0.729314723627688
aeternity,Logistic Regression,0.5605052608999977,0.5385358219386097,0.6475396825396824,0.5865883828149467,0.5636757434125855,0.6869788802912422
aeternity,Support Vector Machine,0.556182009076746,0.5347233661679691,0.6361904761904762,0.5784060074559666,0.5731642168484273,0.6853604789090582
aeternity,K-Nearest Neighbors,0.5934284472442367,0.5762403544836113,0.6275396825396824,0.5986296559994809,0.611221860958703,2.2184578569137416
binance-coin,Multi-Layer Perceptron,0.5762894813097652,0.6076801883934494,0.6764705882352942,0.6328803893973423,0.6453107575318529,0.6662222413046998
binance-coin,Decision Tree,0.6388727904955086,0.6721866239179357,0.6676470588235295,0.6675993491949764,0.6388727904955086,12.931685162266806
binance-coin,Random Forest,0.7018839510725922,0.7341170266288862,0.7123885918003566,0.721635135250456,0.7813296870472327,0.5543334253359411
binance-coin,Balanced Random Forest,0.6718907782548755,0.707251542896459,0.6737076648841356,0.6889950594682204,0.7766836907176663,0.5631291399621429
binance-coin,Logistic Regression,0.574347576021004,0.6079867583100341,0.6376114081996436,0.6196365047328172,0.5949650079467523,0.6883964173419833
binance-coin,Support Vector Machine,0.5961592160375122,0.616441253966171,0.7275401069518717,0.6656032637992365,0.6434025491074172,0.6664513408703672
binance-coin,K-Nearest Neighbors,0.6588244075059491,0.6821600681857348,0.7218360071301249,0.6983599847538973,0.735404867276064,1.796904211766145
bitcoin,Multi-Layer Perceptron,0.4984066811187174,0.6204848723865932,0.484678093645485,0.3956741972139897,0.4959259852467503,4.48550056637181
bitcoin,Decision Tree,0.5776814271242257,0.6293397494779782,0.6174307878112225,0.6227046242198835,0.5776814271242257,15.051722264993945
bitcoin,Random Forest,0.6165285897516524,0.658659399632714,0.6847779635823115,0.6711692340769485,0.6720122602581451,0.651472439161864
bitcoin,Balanced Random Forest,0.6300492010154831,0.6824628908531668,0.6366545893719806,0.6585040141710088,0.676636993450842,0.6508892771103068
bitcoin,Logistic Regression,0.49151200708626186,0.5535755249371205,0.7160929951690822,0.6096813023437855,0.4722415172014741,0.6989188982019361
bitcoin,Support Vector Machine,0.49923569831254566,0.5590776258894679,0.9740175585284282,0.7103376568688532,0.47940903195407036,0.6865735690816694
bitcoin,K-Nearest Neighbors,0.6031761004171331,0.6446635207001116,0.6886543106651801,0.665571746236108,0.6525801289175689,1.8912272894711866
bitcoin-cash,Multi-Layer Perceptron,0.496496538662487,0.45996711303268684,0.5317241379310345,0.4109882313333113,0.4872430120167189,3.9105326106617015
bitcoin-cash,Decision Tree,0.5881341431556948,0.5638665387556261,0.5749425287356322,0.566353149568783,0.5881341431556948,14.824405829394957
bitcoin-cash,Random Forest,0.6089358019853709,0.5968807806668588,0.564367816091954,0.5767685304352959,0.6770825169801463,0.6520395693085153
bitcoin-cash,Balanced Random Forest,0.6374846525600837,0.6227624955689472,0.6089655172413793,0.6124298533079857,0.6896659482758621,0.6393497246656887
bitcoin-cash,Logistic Regression,0.5341349921630093,0.5066012604966093,0.6327586206896552,0.561198603690766,0.5506403474399163,0.7015671445608611
bitcoin-cash,Support Vector Machine,0.5435733411703239,0.5382192536491538,0.5039080459770114,0.5099962719989689,0.5675290621734587,0.6917744570047778
bitcoin-cash,K-Nearest Neighbors,0.600880355276907,0.5825225835991966,0.5782758620689655,0.5788033558220679,0.643093815308255,1.7289601698702686
bitcoin-gold,Multi-Layer Perceptron,0.5264543409806568,0.4628912753912754,0.30321637426900583,0.36104949840522044,0.48454430949167787,0.9966139234850715
bitcoin-gold,Decision Tree,0.6277939721097616,0.5748592124250018,0.5608187134502924,0.5629256361924238,0.6277939721097616,13.059156658689115
bitcoin-gold,Random Forest,0.6533985605038237,0.6285189225978699,0.5406432748538011,0.5745685977754289,0.7071311291048132,0.7925461688704794
bitcoin-gold,Balanced Random Forest,0.6438933873144399,0.603827895530682,0.5570175438596492,0.5718101760504137,0.7001063877642825,0.7262122944728848
bitcoin-gold,Logistic Regression,0.3956059379217274,0.3204863021160563,0.4385964912280702,0.3678859283326915,0.40842825011246064,0.7352665084852218
bitcoin-gold,Support Vector Machine,0.4804561403508772,0.3788492063492063,0.11491228070175438,0.16859980759980758,0.5033864147548359,0.686959434239242
bitcoin-gold,K-Nearest Neighbors,0.6521336032388665,0.6446658312447786,0.5184210526315789,0.566133108824485,0.703183085919928,2.400838225818479
bytecoin-bcn,Multi-Layer Perceptron,0.5,0.0,0.0,0.0,0.4664437958539355,0.6822031945924654
bytecoin-bcn,Decision Tree,0.5480186377438802,0.4775160720445146,0.5138211382113821,0.4944752197212793,0.5480186377438803,16.108826420067693
bytecoin-bcn,Random Forest,0.5796701509246611,0.5360824135627094,0.44712781554045045,0.4859099756640316,0.6117554788964298,0.6915645887223165
bytecoin-bcn,Balanced Random Forest,0.5704461245804708,0.5056171082988232,0.5163467946154872,0.5098244454974565,0.611267734600209,0.6909025756327678
bytecoin-bcn,Logistic Regression,0.5,0.0,0.0,0.0,0.5,0.6931471805599453
bytecoin-bcn,Support Vector Machine,0.5240267412567648,0.4974223026854606,0.16293482606957216,0.24397113558241784,0.5498200480061108,0.678921236051166
bytecoin-bcn,K-Nearest Neighbors,0.5700564272283054,0.5116212945345806,0.4805144608823137,0.49431646138844343,0.5863930392306993,2.182113440785824
cardano,Multi-Layer Perceptron,0.5914094202898551,0.5860552789893603,0.6371666666666667,0.6084345810403382,0.6184230072463768,0.6789185988419975
cardano,Decision Tree,0.6077572463768116,0.605032865740512,0.6486666666666667,0.6255055942767435,0.6077572463768116,14.117097577404218
cardano,Random Forest,0.6142717391304349,0.6190708491907893,0.6238333333333335,0.6200791123670617,0.6802512077294687,0.6558058755278788
cardano,Balanced Random Forest,0.6498768115942027,0.6464553715205889,0.6778333333333334,0.6609759288330717,0.67686865942029,0.6634899853974371
cardano,Logistic Regression,0.5953188405797102,0.5870474158663814,0.666,0.6224586335435152,0.6246745169082126,0.6780661857128513
cardano,Support Vector Machine,0.6125072463768115,0.6187682843472316,0.6040000000000001,0.6097519099418565,0.6231942934782609,0.6782558491827854
cardano,K-Nearest Neighbors,0.6192934782608697,0.6366212853169374,0.575,0.602556421890372,0.6693141606280193,1.6483000197484912
dash,Multi-Layer Perceptron,0.505782875076867,0.4952661451538547,0.3245950782997763,0.3450808016713196,0.5136775842139778,0.8529045069271964
dash,Decision Tree,0.5485169194533795,0.5289188710586515,0.5201297539149887,0.5239083401939875,0.5485169194533795,16.225401797209607
dash,Random Forest,0.6066329676855464,0.5976364022112615,0.5569888143176734,0.5760191395310726,0.6456489165303395,0.7310743968862288
