crypto,balanced_accuracy_Balanced Random Forest,balanced_accuracy_Decision Tree,balanced_accuracy_K-Nearest Neighbors,balanced_accuracy_Logistic Regression,balanced_accuracy_Multi-Layer Perceptron,balanced_accuracy_Random Forest,balanced_accuracy_Support Vector Machine,balanced_accuracy_std_Balanced Random Forest,balanced_accuracy_std_Decision Tree,balanced_accuracy_std_K-Nearest Neighbors,balanced_accuracy_std_Logistic Regression,balanced_accuracy_std_Multi-Layer Perceptron,balanced_accuracy_std_Random Forest,balanced_accuracy_std_Support Vector Machine,f1_Balanced Random Forest,f1_Decision Tree,f1_K-Nearest Neighbors,f1_Logistic Regression,f1_Multi-Layer Perceptron,f1_Random Forest,f1_Support Vector Machine,log_loss_Balanced Random Forest,log_loss_Decision Tree,log_loss_K-Nearest Neighbors,log_loss_Logistic Regression,log_loss_Multi-Layer Perceptron,log_loss_Random Forest,log_loss_Support Vector Machine,precision_Balanced Random Forest,precision_Decision Tree,precision_K-Nearest Neighbors,precision_Logistic Regression,precision_Multi-Layer Perceptron,precision_Random Forest,precision_Support Vector Machine,recall_Balanced Random Forest,recall_Decision Tree,recall_K-Nearest Neighbors,recall_Logistic Regression,recall_Multi-Layer Perceptron,recall_Random Forest,recall_Support Vector Machine,roc_auc_Balanced Random Forest,roc_auc_Decision Tree,roc_auc_K-Nearest Neighbors,roc_auc_Logistic Regression,roc_auc_Multi-Layer Perceptron,roc_auc_Random Forest,roc_auc_Support Vector Machine
aeternity,0.5447375759217864,0.5439188060240692,0.5934284472442367,0.5605052608999977,0.5548063853327011,0.5453271128271128,0.556182009076746,0.04558045699766315,0.023243383695967988,0.04360972787640736,0.0270788645309084,0.04265936793987609,0.055596772520964476,0.04161755520419723,0.5449711723360595,0.5317761365490238,0.5986296559994809,0.5865883828149467,0.5591450346506516,0.5301013265748181,0.5784060074559666,0.729314723627688,16.430858736743662,2.2184578569137416,0.6869788802912422,0.6866472800257655,0.7346420129991782,0.6864198533025159,0.5329783654528985,0.5308999108999108,0.5762403544836113,0.5385358219386097,0.5381495818948256,0.5355452569314453,0.5347233661679691,0.5596031746031744,0.5369841269841269,0.6275396825396824,0.6475396825396824,0.5877777777777777,0.5284920634920635,0.6361904761904762,0.5680181309128678,0.5439188060240692,0.611221860958703,0.5636757434125855,0.5610468739416108,0.5579930682562261,0.5733990381358802
binance-coin,0.6718907782548755,0.6484040638198854,0.6588244075059491,0.574347576021004,0.5940412528647823,0.6683755477112475,0.5961592160375122,0.07802582357446756,0.060323986572194094,0.05887551124460532,0.03131226239585664,0.041105164960571816,0.066408827327023,0.039698236092937926,0.6889950594682204,0.672054123222309,0.6983599847538973,0.6196365047328172,0.6423427393503984,0.6946753634749159,0.6656032637992365,0.5631291399621429,12.637198411943242,1.796904211766145,0.6883964173419833,0.6573155907734352,0.5633015153923568,0.6687532392687203,0.707251542896459,0.6880582999736226,0.6821600681857348,0.6079867583100341,0.6209410939684261,0.7008509344598054,0.616441253966171,0.6737076648841356,0.6615864527629235,0.7218360071301249,0.6376114081996436,0.6737967914438504,0.691800356506239,0.7275401069518717,0.7766836907176663,0.6484040638198854,0.735404867276064,0.5949650079467523,0.6439421379837202,0.7706407014216344,0.64438294126428
bitcoin,0.6300492010154831,0.5678104942014139,0.6031761004171331,0.49151200708626186,0.4989423546786405,0.620266829684219,0.49923569831254566,0.020113524129035845,0.026564691795040712,0.010087211337326747,0.017997388279112052,0.009600185641751862,0.02581158338659626,0.006832368828611113,0.6585040141710088,0.6160831684872521,0.665571746236108,0.6096813023437855,0.4806521781377985,0.6754775215316063,0.7103376568688532,0.6508892771103068,15.381754180971011,1.8912272894711866,0.6989188982019361,3.5976086671028007,0.6610914990553798,0.6871439904698787,0.6824628908531668,0.6199748510235203,0.6446635207001116,0.5535755249371205,0.5524719217390218,0.6610251424136074,0.5590776258894679,0.6366545893719806,0.6135799888517279,0.6886543106651801,0.7160929951690822,0.5534884801189149,0.6910349312523226,0.9740175585284282,0.676636993450842,0.5678104942014139,0.6525801289175689,0.4722415172014741,0.495651284057237,0.6737859349787418,0.4861852397401867
bitcoin-cash,0.6374846525600837,0.5604124216300941,0.600880355276907,0.5341349921630093,0.4926453108672936,0.6469853709508883,0.5435733411703239,0.05048626494475622,0.05174867677993499,0.05446709709426673,0.05472749043306388,0.03470345742185465,0.04578242654913423,0.05955424226909612,0.6124298533079857,0.5356307142603352,0.5788033558220679,0.561198603690766,0.17960316554373618,0.6184192573887781,0.5099962719989689,0.6393497246656887,15.812699551354623,1.7289601698702686,0.7015671445608611,3.9416183733198222,0.6436649218993816,0.6981562401386314,0.6227624955689472,0.5368454268252656,0.5825225835991966,0.5066012604966093,0.39375583566760036,0.6406038793789918,0.5382192536491538,0.6089655172413793,0.5375862068965517,0.5782758620689655,0.6327586206896552,0.1439080459770115,0.6060919540229884,0.5039080459770114,0.6896659482758621,0.5604124216300941,0.643093815308255,0.5506403474399163,0.517130355276907,0.6878343782654127,0.5106236938349007
bitcoin-gold,0.6438933873144399,0.6279041835357625,0.6521336032388665,0.3956059379217274,0.5056059379217274,0.6344696356275303,0.4804561403508772,0.04837679196085388,0.0646382107023972,0.03021488181111191,0.04235893198497305,0.06992019135126076,0.04685654401633637,0.05155288260319201,0.5718101760504137,0.5691133846397005,0.566133108824485,0.3678859283326915,0.3290691634073987,0.5434345998265876,0.16859980759980758,0.7262122944728848,13.139168997079334,2.400838225818479,0.7352665084852218,1.2134080276963932,0.8836243163653286,0.6972664651855541,0.603827895530682,0.568709608245212,0.6446658312447786,0.3204863021160563,0.47546505781799897,0.6077800304270893,0.3788492063492063,0.5570175438596492,0.5771929824561404,0.5184210526315789,0.4385964912280702,0.2885964912280702,0.5026315789473684,0.11491228070175438,0.7001063877642825,0.6279041835357625,0.703183085919928,0.40842825011246064,0.4915182186234818,0.6979111560953667,0.4239298245614035
bytecoin-bcn,0.5704461245804708,0.5589838602711527,0.5700564272283054,0.5,0.5,0.5725794151123779,0.5240267412567648,0.021205148236811768,0.026013682798299083,0.022088191124230515,0.0,0.0,0.02803342506825428,0.021323626396491987,0.5098244454974565,0.5055540739960285,0.49431646138844343,0.0,0.0,0.4767869170557336,0.24397113558241784,0.6909025756327678,15.708557907625835,2.182113440785824,0.6931471805599453,0.682176189852264,0.6903898810726414,0.6794030374027826,0.5056171082988232,0.48991478328561094,0.5116212945345806,0.0,0.0,0.5249744450972016,0.4974223026854606,0.5163467946154872,0.5236705317872852,0.4805144608823137,0.0,0.0,0.43897774223643876,0.16293482606957216,0.611267734600209,0.5589838602711527,0.5863930392306993,0.5,0.4698976602616834,0.6119433022701837,0.5498224200644678
cardano,0.6498768115942027,0.5911811594202899,0.6192934782608697,0.5953188405797102,0.5932355072463769,0.6253913043478261,0.6125072463768115,0.053806951579022405,0.04847905211546386,0.05618128898662897,0.06129316631505517,0.06408019208084706,0.04011528623699545,0.07046387915145154,0.6609759288330717,0.6026663535184861,0.602556421890372,0.6224586335435152,0.6129881936627634,0.6297247990105133,0.6097519099418565,0.6634899853974371,14.717825133889505,1.6483000197484912,0.6780661857128513,0.6796473089360806,0.6548505326125112,0.674494613553785,0.6464553715205889,0.5898105799192755,0.6366212853169374,0.5870474158663814,0.5876213047322493,0.6300061478482532,0.6187682843472316,0.6778333333333334,0.6195,0.575,0.666,0.6451666666666667,0.6326666666666666,0.6040000000000001,0.67686865942029,0.5911811594202898,0.6693141606280193,0.6246745169082126,0.6173807367149758,0.678604770531401,0.6229338768115943
dash,0.5953074725312247,0.5596408051950574,0.6064332211584973,0.4981467769735959,0.518902628660453,0.6012570919368353,0.5234345785710914,0.02660073045025624,0.026990305783126195,0.020947277516306016,0.01854804712798859,0.02858242123788716,0.02856307129131769,0.021488745443818985,0.5715713406860201,0.5381460293942917,0.5644210091979819,0.5967391033705235,0.3727079898440709,0.5683008859947385,0.23368547391930275,0.7254882941953866,15.833873293941242,1.917711496622892,0.6962788058515981,0.8888937629099711,0.7418173577862198,0.6903866249852921,0.5812031581934349,0.5411513149849533,0.6032787545327158,0.475644217910849,0.5365664702720012,0.593253985951366,0.5663887101374975,0.5636510067114093,0.5368635346756152,0.5315257270693512,0.800917225950783,0.3823847874720358,0.5462595078299777,0.14879194630872483,0.6402098340609133,0.5596408051950574,0.6425000925584666,0.4938393717271879,0.518947727396737,0.6425810546041394,0.543761981300177
decred,0.5682363626688339,0.5563937265374046,0.5768489008862572,0.5306579685746352,0.52225981075119,0.5841747213514454,0.5446822148689965,0.0305521940191407,0.027716896665760507,0.03226841126457534,0.0161428375241096,0.0375450734842684,0.03281939166702969,0.022062202693330566,0.5412285667712317,0.5377312137132311,0.5407942115507375,0.4137890525778377,0.3232486526251345,0.5503138634207967,0.5213975348529145,0.7316935390462825,15.95936300939716,1.9902380239376902,0.6940097427736805,0.7098381856369885,0.7449166977975998,0.6900933895362602,0.5547436343410886,0.5397787408508509,0.5691977234493456,0.5290917120179996,0.5082121990775372,0.5761743219541534,0.5286201712450532,0.5297067901234568,0.5371604938271605,0.5160802469135802,0.34237654320987654,0.26814814814814814,0.5284722222222222,0.5160493827160494,0.6250515229723803,0.5563937265374046,0.611178455209825,0.5404325281067378,0.5188561561496188,0.6315815149821974,0.552260800453449
eos,0.6345276497695853,0.5643145161290323,0.6209043778801844,0.47860023041474664,0.5213868087557605,0.6398732718894009,0.5092540322580644,0.02618156329418725,0.053103791395095135,0.0503047153692268,0.04326332305273158,0.05875218242486,0.03735047416798448,0.04890855261226773,0.5939828291265411,0.5369560331185872,0.5682029895527348,0.4768426271745284,0.30469302148725186,0.5954357975511402,0.29550339167679257,0.6411414751576519,15.633588240688988,1.7101074063477568,0.7032017192832729,0.6944842847248891,0.641955915135499,0.7042249672874401,0.6346991196861886,0.5485629549310763,0.6314723160397823,0.4444395410475955,0.5411904761904761,0.6482695487936032,0.5896829681040207,0.560483870967742,0.5286290322580645,0.5189516129032258,0.5286290322580646,0.24848790322580644,0.5540322580645162,0.238508064516129,0.6855904377880183,0.5643145161290323,0.6415394585253456,0.5229320276497695,0.5252304147465436,0.6928758640552994,0.43243951612903225
